title,url,description,author,scraped_at,source
Arm’s CEO Insists the Market Needs His New CPU. It Could Piss Everyone Off,https://www.wired.com/story/arms-ceo-insists-the-market-needs-his-new-cpu-it-could-piss-everyone-off/,Arm just confirmed the rumors: It’s producing its own chip for the first time. CEO Rene Haas explains why this won’t alienate the many chipmakers who license the company’s designs.,LAUREN GOODE,2026-04-21T09:41:34.699844,Wired.com
An FBI ‘Asset’ Helped Run a Dark Web Site That Sold Fentanyl-Laced Drugs for Years,https://www.wired.com/story/an-fbi-asset-helped-run-a-dark-web-site-that-sold-fentanyl-laced-drugs-for-years/,"A staffer of the Incognito dark web market was secretly controlled by the FBI—and still allegedly approved the sale of fentanyl-tainted pills, including those from a dealer linked to a confirmed death.",ANDY GREENBERG,2026-04-21T09:41:39.193140,Wired.com
A Journey Into the Heart of Labubu,https://www.wired.com/story/labubu-pop-mart-journey/,I made an epic trek across four countries to answer one question: Why is the world going mad for a plushie monster?,ZEYI YANG,2026-04-21T09:41:43.211223,Wired.com
War Memes Are Turning Conflict Into Content,https://www.wired.com/story/war-memes-turn-conflict-into-content/,The jokes were funny. The systems behind them—and the reasons we keep passing around war memes as entertainment—are more serious.,RAND AL-HADETHI,2026-04-21T09:41:46.996380,Wired.com
Pan Am Flight 103: Robert Mueller’s 30-Year Search for Justice,https://www.wired.com/story/robert-muellers-search-for-justice-for-pan-am-103/,"Known as the Lockerbie bombing, in December 1988 a bomb downed a Pan Am jet, leaving 270 dead. It was the first mass killing of Americans by terrorists. As the head of the Justice Department’s criminal division, Robert Mueller oversaw the case. And for him, it was personal.",GARRETT M. GRAFF,2026-04-21T09:41:51.198538,Wired.com
MAGA Is Starting to Look Beyond Trump,https://www.wired.com/story/maga-is-starting-to-look-beyond-trump/,A seemingly endless torrent of criticism directed toward Trump from former MAGA allies suggests the president is losing support from his base.,DAVID GILBERT,2026-04-21T09:41:54.782594,Wired.com
MyMove Is the US Government’s Shittiest Website,https://www.wired.com/story/the-governments-shittiest-website/,"For more than 30 years, the US Postal Service has sent people who need to change their addresses to MyMove. Experts say the site uses dark patterns to trap visitors in an online purgatory of “deals.”",TODD FEATHERS,2026-04-21T09:41:58.622231,Wired.com
Congress Turns Up Pressure on DHS Over Palantir’s Role in Immigration Crackdown,https://www.wired.com/story/congress-turns-up-pressure-on-dhs-over-palantirs-role-in-immigration-crackdown/,Democrats are demanding answers about Palantir and other surveillance firms powering Trump’s hard-line immigration enforcement agenda.,CAROLINE HASKINS,2026-04-21T09:42:03.234483,Wired.com
AI Slop Is Making the Internet Fake-Happy,https://www.wired.com/story/ai-slop-is-changing-the-internet-just-not-how-you-might-think/,A new study examines the impact of the rise of AI-generated websites on the internet—and found some surprising results.,KATE KNIBBS,2026-04-21T09:42:07.236951,Wired.com
Apple Will Push Out Rare ‘Backported’ Patches to Protect iOS 18 Users From DarkSword Hacking Tool,https://www.wired.com/story/apple-will-push-out-rare-backported-patches-to-protect-ios-18-users-from-darksword-hacking-tool/,"As DarkSword spreads, Apple tells WIRED it will enable iOS 18-specific fixes for millions of iPhone owners who remain on that iOS version rather than force them to update to iOS 26.",ANDY GREENBERG,2026-04-21T09:42:11.159130,Wired.com
